ticker,sector,setups,nuevos_hoy,rs,r21,r63,adr,dist_max52
MRNA,Salud,"trend_template,rs_90",,99.0,0.2960042895079362,1.8833063236648586,0.07184465268079622,-0.0044143341444411455
DELL,Tecnología,"trend_template,rs_90",,98.0,0.2049640048915502,0.40131160315656444,0.0601264643133604,-0.050159091800232036
MU,Tecnología,"trend_template,rs_90",,98.0,0.15214196058913765,-0.04503429304550555,0.03815249900573066,-0.10895522162826687
AMD,Tecnología,"trend_template,rs_90",,97.0,0.3115422605610949,0.20932549004647671,0.03609970547213139,0.0
INTC,Tecnología,"trend_template,rs_90",,97.0,0.4167611334562187,-0.025755983057417886,0.04620231082692239,-0.11299136352987083
CRWD,Tecnología,"trend_template,rs_90",,96.0,0.3537372661940137,0.4611533257842859,0.05448915331460384,-0.024343724974631664
MRVL,Tecnología,"trend_template,rs_90",,96.0,0.05932027763015202,-0.026449524982541606,0.0453727572719536,-0.17923696591072102
PANW,Tecnología,"trend_template,rs_90",,95.0,0.11551385932107805,0.24426360846169537,0.048736121083598184,-0.04417928059895837
SNOW,Tecnología,"trend_template,rs_90",,94.0,0.08237946345109437,0.37110377931437566,0.04198767594015211,-0.04241589773448051
TEN,Energía / Industria,"trend_template,rs_90",,94.0,0.14981363426824523,0.29312736991608856,0.03702927239718225,-0.12365086961154159
ANET,Tecnología,"trend_template,rs_90",,93.0,0.02333745968209211,0.31326137820553157,0.03281155861912109,-0.01676959040046022
HPQ,Tecnología,"trend_template,rs_90",rs_90,91.0,0.04296741967366846,0.39123111340885464,0.049745103364289535,-0.11147125069711228
TGT,Consumo,"trend_template,rs_90",,91.0,-0.04895146981193943,0.11979090342957543,0.02094085095553324,-0.08169995251443984
PBR,Latam / Brasil,"trend_template,rs_90",,90.0,0.13935812779128276,0.27860646540053824,0.02600267930371557,-0.0705098674843938
ARM,Tecnología,rs_90,,95.0,0.26463794745278024,-0.050168993821895214,0.0493148567586682,-0.2775223998236138
LRCX,Tecnología,rs_90,,93.0,-0.003768952656877267,-0.17776578453471759,0.039340572196303936,-0.28068498886338256
AMAT,Tecnología,rs_90,rs_90,92.0,-0.00012505743991264584,-0.2339146697634713,0.032442037701498824,-0.3358050411481336
FCX,Materiales / Minería,trend_template,,90.0,-0.08721518214744861,0.157486375510417,0.0321552723691861,-0.09760984475409695
MRK,Salud,trend_template,,89.0,-0.026028593988541404,0.15898516919264893,0.021033102831058127,-0.04688372540209207
SCCO,Materiales / Minería,trend_template,,89.0,-0.05618710880391087,0.19870021154813644,0.03318867821752025,-0.08174780020278838
ROKU,Comunicación,trend_template,,88.0,-0.03644387488563128,0.12865593953462273,0.012128345260383543,-0.043440081505011774
ASML,Tecnología,trend_template,,87.0,-0.0019477236919017704,-0.027931683200819957,0.023607782836254566,-0.1231234688760603
TSM,Tecnología,trend_template,,86.0,0.07976413025816531,0.04315176788158537,0.01982736727900277,-0.05562189625328651
TXN,Tecnología,trend_template,trend_template,84.0,0.052145108251311356,-0.03012930444349826,0.028348422719576726,-0.16687678689507046
DE,Energía / Industria,trend_template,,83.0,0.08596786761601694,0.12659992182689184,0.023507658543537757,-0.028739293813209055
TTE,Energía / Industria,trend_template,,82.0,0.04659709991932792,0.18783387298274956,0.01436088451767149,-0.025747821282082306
SHEL,Energía / Industria,trend_template,,81.0,0.04917128413486216,0.2599991512294,0.014506190435340627,-0.033956550924494566
AAPL,Tecnología,trend_template,,80.0,0.07395087006006151,0.18725859417127966,0.02145428297265565,-0.009291154824917713
MSFT,Tecnología,breakout_q,breakout_q,78.0,0.03531645641218972,0.3804527222448433,0.020368069098884046,-0.04416720646789718
AMGN,Salud,trend_template,,76.0,-0.07154699810334153,0.14761328529761686,0.021867259626281367,-0.07944925707026296
COP,Energía / Industria,trend_template,,76.0,-0.02009800159048425,0.21591775343208064,0.02283019218546395,-0.09371902348072836
XOM,Energía / Industria,trend_template,,75.0,0.017112337636030706,0.18601763907428825,0.020163188978324788,-0.04974606535577342
CVX,Energía / Industria,trend_template,,74.0,0.025972712521177055,0.21128638988021708,0.018554529888558113,-0.05675713077034916
JNJ,Salud,trend_template,,73.0,-0.000999959309895826,0.0644007574654113,0.017788839768163457,-0.031246567964335115
NVDA,Tecnología,trend_template,,72.0,0.06710895218332791,0.16205300366730202,0.023608936807981984,-0.049839615669267534
BP,Energía / Industria,trend_template,,70.0,0.03800003949333641,0.2027251965708996,0.020977564769989764,-0.06058342124087812
