ticker,cedear,sector,ratio,precio_usd,precio_ars,fecha_ars,ccl_implicito,estado,prima
ABNB,ABNB,Consumo,15.0,154.22999572753906,16580.0,2026-09-25,1612.526790439329,normal,-0.002673694926895953
ABT,ABT,Salud,4.0,100.72000122070312,40780.0,2026-09-25,1619.539297289747,normal,0.0016634469971286148
ACN,ACN,Tecnología,75.0,178.91000366210938,3815.0,2026-09-25,1599.2677555380167,normal,-0.010874231107357413
ADI,ADI,Tecnología,15.0,392.7900085449219,42220.0,2026-09-25,1612.3118873263597,normal,-0.0028066096349660397
ADP,ADP,Tecnología,6.0,263.2300109863281,70900.0,2026-09-24,1616.077127399029,normal,-0.00047785888697671197
AEM,AEM,Materiales / Minería,6.0,193.75,52325.0,2026-09-25,1620.3870967741937,normal,0.0021877996666650468
AIG,AIG,Financieras,5.0,74.23500061035156,24180.0,2026-09-24,1628.6118273856566,normal,0.007274685813044801
AMAT,AMAT,Tecnología,5.0,480.31500244140625,156325.0,2026-09-25,1627.3174812926036,normal,0.006474150024043501
AMGN,AMGN,Salud,30.0,408.8949890136719,22030.0,2026-09-25,1616.3074083989375,normal,-0.00033543316101114495
AMX,AMX,Latam / Brasil,1.0,21.989999771118164,35560.0,2026-09-24,1617.0986980502282,normal,0.00015396893068952977
ANET,ANET,Tecnología,29.0,206.8000030517578,11620.0,2026-09-25,1629.497074599466,normal,0.007822199403553443
ARCO,ARCO,Latam / Brasil,0.5,7.184999942779541,23290.0,2026-09-25,1620.7376607848787,normal,0.0024046188299442495
ARM,ARM,Tecnología,27.0,318.6007995605469,19200.0,2026-09-25,1627.114560650948,normal,0.006348646314607187
ASML,ASML,Tecnología,146.0,1744.56005859375,19380.0,2026-09-25,1621.887412853404,normal,0.003115725143991943
AXP,AXP,Financieras,15.0,305.57000732421875,32960.0,2026-09-25,1617.9598394793607,normal,0.0006865734150021119
AZN,AZN,Salud,4.0,165.02000427246094,66625.0,2026-09-25,1614.9557211257106,normal,-0.001171433704886926
B,B,Materiales / Minería,2.0,42.380001068115234,34200.0,2026-09-25,1613.9688125553403,normal,-0.0017818234880323525
BBD,BBD,Latam / Brasil,1.0,3.384999990463257,5475.0,2026-09-25,1617.4298420753362,normal,0.0003587770919963873
BHP,BHP,Materiales / Minería,2.0,84.55999755859375,68300.0,2026-09-25,1615.4210494784656,normal,-0.0008836343272576874
BIDU,BIDU,China,11.0,87.51499938964844,12900.0,2026-09-25,1621.4363365096979,normal,0.002836740443804775
BKNG,BKNG,Consumo,700.0,161.02999877929688,375.25,2026-09-25,1631.217797871407,normal,0.008886443788845622
BKR,BKR,Energía / Industria,7.0,57.60499954223633,13590.0,2026-09-25,1651.4191607665948,caro,0.021380717206907374
BMY,BMY,Salud,3.0,61.849998474121094,33420.0,2026-09-25,1621.0186333626216,normal,0.002578396620458223
BP,BP,Energía / Industria,5.0,44.070098876953125,14260.0,2026-09-25,1617.8770145053386,normal,0.0006353472736448929
BX,BX,Financieras,30.0,118.08000183105469,6290.0,2026-09-24,1598.0690809099603,normal,-0.011615595371735732
CAAP,CAAP,Latam / Brasil,0.25,23.729999542236328,152400.0,2026-09-24,1605.5626099860192,normal,-0.006980947619094402
CAH,CAH,Salud,3.0,221.0,120000.0,2026-09-24,1628.9592760180994,normal,0.007489578156447463
CCL,CCL,Consumo,3.0,21.815000534057617,11840.0,2026-09-25,1628.237411433757,normal,0.007043114542364393
CEG,CEG,Energía / Industria,45.0,263.5199890136719,9565.0,2026-09-25,1633.3675544350026,normal,0.010216039540736022
CL,CL,Consumo,3.0,85.52999877929688,45920.0,2026-09-25,1610.662948277111,normal,-0.003826456436289538
COP,COP,Energía / Industria,25.0,128.10000610351562,8325.0,2026-09-24,1624.7071825415637,normal,0.0048597150739100314
COST,COST,Consumo,48.0,916.6699829101562,30900.0,2026-09-25,1618.030510054751,normal,0.000730282222973111
CRWD,CRWD,Tecnología,79.0,256.07080078125,5185.0,2026-09-25,1599.616195014425,normal,-0.010658725940182356
CVS,CVS,Salud,15.0,86.16999816894531,9130.0,2026-09-25,1589.3002542659358,barato,-0.017038997654763133
DAL,DAL,Energía / Industria,8.0,82.83999633789062,16720.0,2026-09-25,1614.6789704627113,normal,-0.0013426002974621376
DE,DE,Energía / Industria,40.0,690.7000122070312,28080.0,2026-09-24,1626.1763141004994,normal,0.00576835334152026
DELL,DELL,Tecnología,74.0,556.8148803710938,12140.0,2026-09-25,1613.3907904926693,normal,-0.0021393224216514906
DHR,DHR,Salud,54.0,223.60000610351562,6655.0,2026-09-25,1607.2003139106787,normal,-0.005968049592426916
DOCU,DOCU,Tecnología,22.0,68.41000366210938,5070.0,2026-09-25,1630.4632952648017,normal,0.008419793993459157
EA,EA,Comunicación,14.0,209.6999969482422,23750.0,2026-08-03,,precio en pesos viejo (2026-08-03),
EBAY,EBAY,Consumo,2.0,108.22000122070312,87100.0,2026-09-25,1609.6839589267581,normal,-0.004431948287514698
ETSY,ETSY,Consumo,16.0,70.0999984741211,7070.0,2026-09-25,1613.6947569515378,normal,-0.0019513232224526167
F,F,Consumo,1.0,12.664999961853027,20330.0,2026-09-25,1605.2112168364745,normal,-0.007198279593695456
FCX,FCX,Materiales / Minería,3.0,72.27999877929688,38720.0,2026-09-25,1607.0835910593796,normal,-0.006040241118604239
FDX,FDX,Energía / Industria,10.0,280.92498779296875,45220.0,2026-09-24,1609.6823694916543,normal,-0.004432931331919687
FSLR,FSLR,Energía / Industria,18.0,177.48989868164062,15900.0,2026-09-25,1612.486130905681,normal,-0.002698842305965621
GE,GE,Energía / Industria,8.0,322.3500061035156,65100.0,2026-09-25,1615.6351485619532,normal,-0.0007512169006945735
GEV,GEV,Energía / Industria,180.0,953.7899780273438,8570.0,2026-09-25,1617.3371869459672,normal,0.0003014711307141038
GGB,GGB,Latam / Brasil,0.25,4.755000114440918,30760.0,2026-09-25,1617.2449663345956,normal,0.00024443391301565143
GILD,GILD,Salud,4.0,148.39999389648438,60400.0,2026-09-24,1628.0324119725153,normal,0.006916325110750243
GLW,GLW,Tecnología,41.0,155.85499572753906,63025.0,2026-09-25,16579.673868891015,ratio o precio a revisar,
GM,GM,Consumo,6.0,82.18000030517578,22000.0,2026-09-25,1606.2302203676982,normal,-0.006568039505482792
GS,GS,Financieras,13.0,923.6400146484375,114825.0,2026-09-25,1616.1328832945503,normal,-0.0004433746095084956
HAL,HAL,Energía / Industria,2.0,32.595001220703125,26360.0,2026-09-25,1617.4259250069986,normal,0.0003563544374922678
HMC,HMC,Consumo,1.0,32.75,51950.0,2026-09-24,1586.2595419847328,barato,-0.018919637630596675
HON,HON,Energía / Industria,8.0,211.36000061035156,42680.0,2026-09-24,1615.442841663569,normal,-0.0008701561515291889
HOOD,HOOD,Financieras,29.0,118.52999877929688,6590.0,2026-09-25,1612.3344467070083,normal,-0.002792656959028861
HPQ,HPQ,Tecnología,1.0,31.524999618530273,50400.0,2026-09-25,1598.731185086996,normal,-0.011206092772230725
HSBC,HSBC,Financieras,2.0,100.4800033569336,80800.0,2026-09-25,1608.2802010460805,normal,-0.005300153807357266
IBKR,IBKR,Financieras,17.0,89.0801010131836,8500.0,2026-09-24,1622.1355651428194,normal,0.00326920402407338
INFY,INFY,Tecnología,1.0,10.524999618530273,17000.0,2026-09-24,1615.2019587791592,normal,-0.0010191390016052182
ISRG,ISRG,Salud,90.0,395.44500732421875,7100.0,2026-09-25,1615.9010435453408,normal,-0.0005867644011194884
ITUB,ITUB,Latam / Brasil,1.0,8.0649995803833,13060.0,2026-09-25,1619.3429236829923,normal,0.0015419925414259517
JD,JD,China,4.0,26.485000610351562,10700.0,2026-09-25,1616.0090244918395,normal,-0.0005199796264241385
KLAC,KLAC,Tecnología,34.0,186.7100067138672,8860.0,2026-09-25,1613.4111143900811,normal,-0.0021267523622697793
KMB,KMB,Consumo,6.0,97.11000061035156,26200.0,2026-09-25,1618.7828134277972,normal,0.001195571821746011
LIN,LIN,Materiales / Minería,102.0,468.0050048828125,7370.0,2026-09-24,1606.2648735738076,normal,-0.006546606959857648
LMT,LMT,Energía / Industria,20.0,522.0399780273438,42240.0,2026-09-25,1618.2668675917969,normal,0.0008764662060831707
LRCX,LRCX,Tecnología,56.0,311.6199951171875,9050.0,2026-09-25,1626.3397982835259,normal,0.005869466127467193
LVS,LVS,Consumo,2.0,38.720001220703125,31240.0,2026-09-24,1613.6363127641816,normal,-0.001987470172552519
MA,MA,Financieras,33.0,564.8099975585938,27680.0,2026-09-25,1617.2518261864498,normal,0.0002486766398612783
MDLZ,MDLZ,Consumo,15.0,60.46500015258789,6530.0,2026-09-24,1619.9454188839154,normal,0.0019146277845263349
MDT,MDT,Salud,4.0,87.91000366210938,35679.8203125,2026-09-24,1623.4703140106262,normal,0.004094728390194202
MMM,MMM,Energía / Industria,10.0,168.77499389648438,26980.0,2026-09-25,1598.5780462565315,normal,-0.011300807095649068
MO,MO,Consumo,4.0,68.21499633789062,27740.0,2026-09-25,1626.6217980923102,normal,0.0060438792466748215
MRNA,MRNA,Salud,19.0,194.11500549316406,16500.0,2026-09-25,1615.0219773248812,normal,-0.0011304551297099952
MRVL,MRVL,Tecnología,14.0,259.7950134277344,30080.0,2026-09-25,1620.9702967110277,normal,0.0025485010463695
MS,MS,Financieras,41.0,195.60000610351562,7725.0,2026-09-25,1619.2484157305316,normal,0.0014835406337825319
MU,MU,Tecnología,5.0,1078.6519775390625,353100.0,2026-09-25,1636.7651816927798,normal,0.012317426667514342
NEE,NEE,Energía / Industria,19.0,75.98500061035156,6435.0,2026-09-25,1609.0675662025808,normal,-0.004813178963322784
NEM,NEM,Materiales / Minería,3.0,120.91999816894531,65400.0,2026-09-25,1622.5603950628251,normal,0.0035319556613895298
NIO,NIO,China,4.0,3.5873000621795654,1442.0,2026-09-25,1607.8944888974493,normal,-0.005538711624999082
NOW,NOW,Tecnología,172.0,138.13999938964844,1291.0,2026-09-25,1607.4417328876834,normal,-0.005818735176233547
NTES,NTES,China,14.0,114.69000244140625,13290.0,2026-09-25,1622.2861281658427,normal,0.00336232524495661
NUE,NUE,Materiales / Minería,16.0,244.42140197753906,25000.0,2026-09-24,1636.5179021301815,normal,0.012164487557325021
NVO,NVO,Salud,7.0,38.57500076293945,8920.0,2026-09-25,1618.664906417542,normal,0.0011226479090538088
NVS,NVS,Salud,4.0,144.3350067138672,57875.0,2026-09-25,1603.9075015178444,normal,-0.008004610123709455
