setup,ruedas,periodo,senales,retorno_prom,retorno_mediano,aciertos,vs_spy_prom,le_gana_a_spy
trend_template,5,todo,5572,0.003742261532693174,0.003910143600747595,0.544508255563532,0.0016529001929861346,0.5123833452979182
trend_template,5,antes,3007,0.0035342365702258696,0.0045663583788151385,0.5543731293648154,0.002174479901610013,0.5214499501163951
trend_template,5,después,2565,0.003986133291811766,0.003172719307214633,0.532943469785575,0.0010414420316481204,0.5017543859649123
trend_template,10,todo,5555,0.006865078405021064,0.007504240948364993,0.5542754275427543,0.002311915047061742,0.5065706570657066
trend_template,10,antes,3007,0.006282280414158921,0.008196557842679253,0.5646824077153308,0.003456300280396834,0.510808114399734
trend_template,10,después,2548,0.007552862376183727,0.006176682460776739,0.5419937205651492,0.0009613787846447008,0.5015698587127159
trend_template,20,todo,5526,0.016646575134597757,0.012049039387087568,0.5570032573289903,0.0056710393282886525,0.502171552660152
trend_template,20,antes,3007,0.014696973996780981,0.012427053379064912,0.5613568340538743,0.006560881561581994,0.5104755570335883
trend_template,20,después,2519,0.01897386795770813,0.01158578828850021,0.5518062723302898,0.004608810032729666,0.49225883287018657
breakout_q,5,todo,461,0.005400033917633158,0.0019563053667408514,0.5140997830802603,0.0015335203691653758,0.4793926247288503
breakout_q,5,antes,261,0.013978778010618975,0.01164108712152001,0.5747126436781609,0.00945827220442409,0.5287356321839081
breakout_q,5,después,200,-0.005795227123713334,-0.011836556545572585,0.435,-0.008808280775847246,0.415
breakout_q,10,todo,459,0.008891073342227308,0.00601410226954302,0.5294117647058824,0.0009421840795515745,0.4662309368191721
breakout_q,10,antes,261,0.022490179071961807,0.012391621468568648,0.5747126436781609,0.013470180284232601,0.5134099616858238
breakout_q,10,después,198,-0.009035020574240896,-0.004075553236751905,0.4696969696969697,-0.01557199273570978,0.40404040404040403
breakout_q,20,todo,458,0.0168379033073531,0.009213752486796345,0.5393013100436681,0.004365810691850534,0.4650655021834061
breakout_q,20,antes,261,0.031124986791204914,0.012345838114069974,0.5632183908045977,0.01636095105360226,0.47509578544061304
breakout_q,20,después,197,-0.002090669227090167,0.0006348947999339494,0.5076142131979695,-0.01152622806153627,0.4517766497461929
episodic_pivot,5,todo,310,0.011716044494268276,0.013382064872081711,0.5935483870967742,0.006735711150796398,0.5516129032258065
episodic_pivot,5,antes,170,0.011810187487614969,0.014861101052981551,0.6058823529411764,0.007489533738460908,0.6058823529411764
episodic_pivot,5,después,140,0.011601728002347293,0.010893468657653282,0.5785714285714286,0.005820355151489491,0.4857142857142857
episodic_pivot,10,todo,310,0.02139712080337829,0.016693713939955557,0.5774193548387097,0.01036394817977132,0.532258064516129
episodic_pivot,10,antes,170,0.023929012649360076,0.02270184036839029,0.6,0.013234105172209845,0.5764705882352941
episodic_pivot,10,después,140,0.018322680704686112,0.005647856570979659,0.55,0.006878757546095973,0.4785714285714286
episodic_pivot,20,todo,310,0.037216710306840074,0.02695542406148732,0.6129032258064516,0.019810325524977492,0.5387096774193548
episodic_pivot,20,antes,170,0.03933499645489575,0.02805900480303236,0.6235294117647059,0.022279361169443124,0.5588235294117647
episodic_pivot,20,después,140,0.03464450569848677,0.02573903146165879,0.6,0.01681221081384065,0.5142857142857142
max_52s,5,todo,12083,0.0021170979040345326,0.0019490169006517455,0.5276835223040636,0.0006085680752003307,0.4988827277993876
max_52s,5,antes,7019,0.0022313204007071187,0.0024359292671265464,0.5359737854395213,0.00118221887257952,0.5059125231514461
max_52s,5,después,5064,0.001958778847133884,0.0014235976202622291,0.5161927330173776,-0.00018654546089851018,0.4891390205371248
max_52s,10,todo,12073,0.0052744072835404065,0.004492316005673791,0.5403793589000249,0.0019069386550458146,0.49026753913691706
max_52s,10,antes,7019,0.004534272172585478,0.004674410484713398,0.5448069525573443,0.0025059207833623095,0.49650947428408604
max_52s,10,después,5054,0.006302307628572587,0.004219548359669312,0.5342303126236644,0.0010750717063609159,0.481598733676296
max_52s,20,todo,12046,0.011841747551831068,0.009643883692366462,0.5541258509048647,0.004466029690980665,0.499584924456251
max_52s,20,antes,7019,0.008811124528250558,0.009471372042370252,0.5536401196751674,0.004532498656913654,0.507622168400057
max_52s,20,después,5027,0.01607328584554733,0.010100986425625846,0.5548040580863338,0.004373221719649124,0.4883628406604337
rs_90,5,todo,2605,0.003279014766178744,0.002907552325626561,0.5216890595009597,0.0008077485170481201,0.4932821497120921
rs_90,5,antes,1479,0.0007520604414937947,0.001916761268212941,0.5185936443542934,-0.0004898499254172565,0.48816768086544965
rs_90,5,después,1126,0.006598167027465636,0.0040560593356302466,0.5257548845470693,0.0025121429188299065,0.5
rs_90,10,todo,2598,0.00634638846644308,0.005190876101154873,0.5280985373364127,0.0006270835005562035,0.4973056197074673
rs_90,10,antes,1479,0.004407887701057418,0.006039504168115828,0.5354969574036511,0.0007798788835432708,0.504394861392833
rs_90,10,después,1119,0.008908535590665954,0.0034601245735406128,0.5183199285075961,0.00042513142599152757,0.4879356568364611
rs_90,20,todo,2583,0.018734449706759707,0.013762161031596776,0.5489740611691831,0.007777858565928986,0.5021293070073558
rs_90,20,antes,1479,0.014214595735549264,0.014262154696664364,0.5557809330628803,0.007276795046782782,0.513184584178499
rs_90,20,después,1104,0.024789580162756297,0.012313735889592059,0.5398550724637681,0.008449120291306922,0.48731884057971014
